ONE05,RIM03,RIM04,RIM05,,,,,,,,,,,,,,
0.011443946,0.012244799,0.009889066,0.008413474,,,,,,,,,,,,,,
0.01091322,0.01347366,0.011555976,0.008785585,,,,,,,,,,,,,,
0.010066115,0.012252541,0.011267756,0.009124238,,,,,,,,,,,,,,
0.011458209,0.012377574,0.010677456,0.008435547,,,,,,,,,,,,,,
0.01259535,0.011614186,0.009214579,0.007212514,,,,,,,,,,,,,,
0.010934049,0.01062427,0.011306344,0.008057081,,,,,,,,,,,,,,
0.009896155,0.011110369,0.011220579,0.008159069,,,,,,,,,,,,,,
0.013953082,0.01222141,0.010717101,0.00816868,,,,,,,,,,,,,,
0.013794451,0.012464918,0.011558687,0.009040529,,,,,,,,,,,,,,
0.015301183,0.011070392,0.011609826,0.007776135,,,,,,,,,,,,,,
0.016815813,0.01186569,0.012462535,0.008024265,,,,,,,,,,,,,,
0.014662754,0.013424005,0.013246246,0.008591449,,,,,,,,,,,,,,
0.016048476,0.011975048,0.012642001,0.009390144,,,,,,,,,,,,,,
0.017099136,0.013181748,0.012685791,0.007988715,,,,,,,,,,,,,,
0.018344865,0.014705984,0.0135991,0.008684103,,,,,,,,,,,,,,
0.019069949,0.016328809,0.013153799,0.008421313,,,,,,,,,,,,,,
0.020617691,0.017530619,0.014239908,0.009423526,,,,,,,,,,,,,,
0.019399643,0.018302223,0.013784377,0.010210337,,,,,,,,,,,,,,
0.019940487,0.019964602,0.015025408,0.010755707,,,,,,,,,,,,,,
0.021141796,0.019913228,0.015474567,0.010158849,,,,,,,,,,,,,,
0.020755602,0.018623862,0.016071129,0.010119399,,,,,,,,,,,,,,
0.023707508,0.021951048,0.016757022,0.009561888,,,,,,,,,,,,,,
0.022101825,0.020868418,0.016975739,0.010086544,,,,,,,,,,,,,,
0.022678682,0.02211769,0.016319053,0.011294127,,,,,,,,,,,,,,
0.025908219,0.022461172,0.01719083,0.012080262,,,,,,,,,,,,,,
0.024587617,0.022393895,0.018283864,0.010919042,,,,,,,,,,,,,,
0.026908313,0.024191915,0.018116033,0.011608951,,,,,,,,,,,,,,
0.026533288,0.024800113,0.01949669,0.013176153,,,,,,,,,,,,,,
0.027211775,0.024759264,0.02006674,0.012721124,,,,,,,,,,,,,,
0.027676168,0.024731972,0.021535862,0.01393468,,,,,,,,,,,,,,
0.029086607,0.02486815,0.020993326,0.014853081,,,,,,,,,,,,,,
0.03096549,0.025909557,0.022357656,0.014248752,,,,,,,,,,,,,,
0.033537636,0.029420458,0.022211627,0.016899599,,,,,,,,,,,,,,
0.033299985,0.032246827,0.024612727,0.017705545,,,,,,,,,,,,,,
0.035626918,0.034417507,0.02593964,0.01800936,,,,,,,,,,,,,,
0.035952094,0.034137656,0.02381995,0.018739609,,,,,,,,,,,,,,
0.033338392,0.03270338,0.024471851,0.017587383,,,,,,,,,,,,,,
0.031648057,0.033388317,0.025200356,0.017942765,,,,,,,,,,,,,,
0.031578416,0.030877833,0.023317281,0.015733728,,,,,,,,,,,,,,
0.028803138,0.029347251,0.020968111,0.016375108,,,,,,,,,,,,,,
0.026895258,0.025366567,0.01947013,0.014835873,,,,,,,,,,,,,,
0.024744087,0.023645967,0.018493222,0.012899633,,,,,,,,,,,,,,
0.025495435,0.022583451,0.017733191,0.013626946,,,,,,,,,,,,,,
0.023130513,0.023171821,0.016038195,0.012366146,,,,,,,,,,,,,,
0.020688033,0.021343158,0.016341452,0.012353788,,,,,,,,,,,,,,
0.021700458,0.02020429,0.014891449,0.011954292,,,,,,,,,,,,,,
0.020371134,0.020301743,0.014965008,0.01137939,,,,,,,,,,,,,,
0.019696354,0.018430291,0.013427861,0.010901492,,,,,,,,,,,,,,
0.017954645,0.018522941,0.012839905,0.009453299,,,,,,,,,,,,,,
0.017400716,0.018619028,0.014185538,0.010011666,,,,,,,,,,,,,,
0.016880644,0.016738953,0.01139243,0.009400541,,,,,,,,,,,,,,
0.015624927,0.013186692,0.012335954,0.008818167,,,,,,,,,,,,,,
0.013103469,0.01315986,0.009747535,0.007011335,,,,,,,,,,,,,,
0.011437078,0.010504994,0.008951983,0.005159186,,,,,,,,,,,,,,
0.008820652,0.008497033,0.007157995,0.004690339,,,,,,,,,,,,,,
0.00908207,0.00984913,0.007233772,0.005322652,,,,,,,,,,,,,,
0.00916251,0.010782824,0.007082942,0.004914616,,,,,,,,,,,,,,
0.011529504,0.011518034,0.010043347,0.005687369,,,,,,,,,,,,,,
0.013584085,0.015244738,0.010208992,0.009473803,,,,,,,,,,,,,,
0.016527906,0.018980341,0.012030511,0.011354805,,,,,,,,,,,,,,
0.019312598,0.020712737,0.015088581,0.013325886,,,,,,,,,,,,,,
