ONE05,RIM03,RIM04,RIM05,,,,,,,,,,,,,,,
0.009542573,0.009773842,0.013223475,0.008937138,,,,,,,,,,,,,,,
0.011195934,0.010618658,0.012707598,0.008546392,,,,,,,,,,,,,,,
0.012185689,0.008124122,0.010640404,0.011195092,,,,,,,,,,,,,,,
0.011750713,0.011218232,0.01114797,0.007678579,,,,,,,,,,,,,,,
0.010787462,0.01165196,0.011890269,0.008756665,,,,,,,,,,,,,,,
0.021893184,0.007263612,0.007616395,0.007546074,,,,,,,,,,,,,,,
0.009719053,0.011953008,0.008957502,0.009169899,,,,,,,,,,,,,,,
0.006116155,0.011404848,0.009190936,0.005545811,,,,,,,,,,,,,,,
0.013237805,0.013539024,0.010786521,0.008027135,,,,,,,,,,,,,,,
0.01826285,0.011519593,0.008199094,0.011638706,,,,,,,,,,,,,,,
0.01449394,0.016590741,0.012098992,0.008525333,,,,,,,,,,,,,,,
0.01138008,0.014405742,0.017252387,0.00901666,,,,,,,,,,,,,,,
0.017566591,0.008897221,0.014415922,0.008285468,,,,,,,,,,,,,,,
0.02450957,0.011896772,0.01606649,0.010930812,,,,,,,,,,,,,,,
0.011267985,0.008886713,0.009140983,0.008160381,,,,,,,,,,,,,,,
0.022595326,0.018774533,0.014012391,0.010652725,,,,,,,,,,,,,,,
0.01830929,0.016108329,0.016584085,0.008732582,,,,,,,,,,,,,,,
0.016936048,0.016068584,0.014928007,0.012685329,,,,,,,,,,,,,,,
0.024516778,0.018200938,0.013444882,0.007747719,,,,,,,,,,,,,,,
0.019895569,0.020845465,0.014418049,0.009363888,,,,,,,,,,,,,,,
0.021891431,0.015775133,0.01469789,0.009316835,,,,,,,,,,,,,,,
0.020611837,0.017727558,0.014861165,0.009310671,,,,,,,,,,,,,,,
0.018481838,0.015794194,0.016601567,0.012830918,,,,,,,,,,,,,,,
0.023554472,0.024370803,0.015541867,0.009584361,,,,,,,,,,,,,,,
0.018311715,0.020880194,0.016016606,0.011347709,,,,,,,,,,,,,,,
0.025241393,0.023078327,0.016962783,0.009201603,,,,,,,,,,,,,,,
0.031344157,0.022758416,0.020833784,0.013700299,,,,,,,,,,,,,,,
0.022970101,0.027728601,0.021672526,0.014374064,,,,,,,,,,,,,,,
0.02423876,0.024691318,0.021416409,0.011010682,,,,,,,,,,,,,,,
0.026734655,0.026584476,0.021673352,0.015727351,,,,,,,,,,,,,,,
0.032588073,0.026364904,0.019991154,0.012789351,,,,,,,,,,,,,,,
0.029383923,0.02884779,0.020344725,0.014735813,,,,,,,,,,,,,,,
0.027171223,0.027127049,0.027308875,0.017223193,,,,,,,,,,,,,,,
0.039682187,0.025069418,0.026963108,0.01706618,,,,,,,,,,,,,,,
0.035879787,0.03356308,0.021637595,0.021289883,,,,,,,,,,,,,,,
0.037923364,0.03443426,0.025189287,0.021730196,,,,,,,,,,,,,,,
0.031113289,0.032737261,0.02396726,0.018025896,,,,,,,,,,,,,,,
0.030358702,0.034699619,0.027895712,0.017354475,,,,,,,,,,,,,,,
0.025729636,0.029764356,0.02209045,0.016689957,,,,,,,,,,,,,,,
0.030446462,0.028498388,0.018695266,0.016063793,,,,,,,,,,,,,,,
0.022629128,0.024313455,0.018173754,0.014711665,,,,,,,,,,,,,,,
0.023396382,0.028439965,0.015849201,0.011147592,,,,,,,,,,,,,,,
0.023802198,0.022870252,0.014365445,0.01099621,,,,,,,,,,,,,,,
0.023621055,0.019815805,0.015213459,0.015118706,,,,,,,,,,,,,,,
0.022158666,0.022353453,0.016616842,0.012382794,,,,,,,,,,,,,,,
0.02093306,0.024117814,0.018215782,0.01222983,,,,,,,,,,,,,,,
0.016951405,0.021722379,0.015482057,0.009853143,,,,,,,,,,,,,,,
0.020571059,0.021212319,0.014786182,0.009814875,,,,,,,,,,,,,,,
0.016143459,0.020556036,0.017566677,0.008653481,,,,,,,,,,,,,,,
0.017196366,0.017294454,0.018756453,0.010473165,,,,,,,,,,,,,,,
0.014072408,0.015611854,0.014138324,0.011437164,,,,,,,,,,,,,,,
0.016794986,0.011916884,0.013437366,0.006921838,,,,,,,,,,,,,,,
0.013691028,0.011216624,0.009502173,0.006902689,,,,,,,,,,,,,,,
0.014080596,0.003710462,0.01143845,0.005509934,,,,,,,,,,,,,,,
0.012912968,0.00712146,0.007615576,0.004939585,,,,,,,,,,,,,,,
0.007195576,0.012118378,0.009816072,0.004429061,,,,,,,,,,,,,,,
0.006344771,0.007263459,0.003560235,0.00818436,,,,,,,,,,,,,,,
0.013513941,0.008858196,0.012384987,0.005976747,,,,,,,,,,,,,,,
0.010590783,0.01855163,0.010149811,0.006428551,,,,,,,,,,,,,,,
0.018392561,0.0189152,0.014146085,0.01041839,,,,,,,,,,,,,,,
0.01853213,0.024041684,0.015955866,0.01375838,,,,,,,,,,,,,,,
