wavelength,ONE05,RIM03,RIM04,RIM05
319.4998648,0.010999516,0.013062947,0.010477608,0.003893267
322.8082533,0.017440904,0.004888453,0.009588925,0.007670033
326.1176281,0.009362227,0.008634531,0.011325912,0.006742057
329.4279758,0.013650265,0.00856626,0.009892801,0.005010532
332.7392829,0.012959846,0.007280208,0.010720847,0.007280994
336.0515359,0.010867505,0.010862047,0.010982891,0.005405776
339.3647215,0.014285922,0.009115975,0.0106666,0.00645082
342.6788261,0.011571282,0.00976225,0.012255966,0.007491594
345.9938363,0.012921276,0.010933038,0.012143713,0.006782934
349.3097386,0.013940669,0.009984177,0.012910113,0.008668578
352.6265196,0.013123856,0.012171996,0.013708037,0.008323018
355.9441658,0.016461802,0.012037273,0.013406915,0.008443258
359.2626638,0.016468125,0.011957853,0.014205253,0.00943659
362.5820001,0.017597996,0.012889987,0.014037195,0.008495458
365.9021613,0.020149118,0.011906665,0.014198627,0.009266189
369.2231339,0.019333862,0.012693562,0.015042379,0.009471262
372.5449044,0.021125529,0.013120684,0.014892474,0.009191686
375.8674594,0.021246462,0.01284043,0.015471068,0.010176513
379.1907854,0.020205047,0.014835276,0.016109563,0.009748462
382.5148691,0.022277066,0.015003252,0.016569684,0.010504574
385.8396968,0.020797825,0.016105731,0.018090065,0.011422649
389.1652553,0.02117198,0.017796525,0.018969593,0.011450953
392.4915309,0.022081809,0.018059462,0.020439491,0.013009634
395.8185103,0.02084699,0.020423105,0.021916298,0.013131243
399.14618,0.021895121,0.02124802,0.022177039,0.013379082
402.4745266,0.021318677,0.021513283,0.022929576,0.013902478
405.8035365,0.0212846,0.022204332,0.02299552,0.013348441
409.1331964,0.022048682,0.021577554,0.022880457,0.013587249
412.4634928,0.021286263,0.021616886,0.023018392,0.013398499
415.7944122,0.022014847,0.021539923,0.02263762,0.013026734
419.1259412,0.022294023,0.021032464,0.022617737,0.01320454
422.4580663,0.022135669,0.021295694,0.02253404,0.012758799
425.7907741,0.023167952,0.020973921,0.022324301,0.012701843
429.1240511,0.023423229,0.020854669,0.022475421,0.012771197
432.4578838,0.024270121,0.021079559,0.022412741,0.012475044
435.7922589,0.025522862,0.020844444,0.022654593,0.01297078
439.1271628,0.026136187,0.021325796,0.023041183,0.0129778
442.462582,0.027613683,0.021693152,0.023306304,0.01314856
445.7985032,0.028672622,0.021958905,0.023921234,0.013531132
449.1349129,0.029475399,0.022526513,0.02425698,0.013453571
452.4717976,0.030703767,0.022525181,0.02456277,0.01368863
455.8091439,0.031175814,0.022785349,0.025033468,0.013771969
459.1469382,0.032052119,0.023132748,0.025173472,0.013635999
462.4851673,0.03271269,0.023369812,0.025609669,0.013936041
465.8238175,0.033061996,0.024573147,0.026198318,0.013875645
469.1628755,0.034296066,0.025694646,0.026784863,0.014071774
472.5023278,0.034724623,0.027213767,0.027798948,0.014421109
475.8421609,0.035529083,0.029226324,0.02858436,0.014475562
479.1823613,0.036787247,0.03070169,0.029494013,0.015004704
482.5229158,0.03704941,0.032457693,0.030367702,0.015177338
485.8638106,0.038175319,0.033790906,0.030755104,0.015299104
489.2050325,0.038616296,0.034329323,0.03125253,0.015619153
492.546568,0.038636129,0.034975766,0.031379229,0.015417921
495.8884036,0.039529757,0.034958793,0.031587344,0.015685299
499.2305258,0.039608756,0.03515172,0.03218011,0.015838805
502.5729212,0.04041262,0.035655151,0.032516277,0.015884101
505.9155763,0.041307937,0.035826164,0.033197231,0.016458863
509.2584777,0.041610536,0.036598823,0.033822671,0.016533019
512.601612,0.042920318,0.037222544,0.034321156,0.016884315
515.9449656,0.043689382,0.038024198,0.035337807,0.017443147
519.2885251,0.044831833,0.039031017,0.035999533,0.017637611
522.6322771,0.046185305,0.039350679,0.036712347,0.018313328
525.9762082,0.046695555,0.040050119,0.037537036,0.018642568
529.3203047,0.048037547,0.040654767,0.037989029,0.018959324
532.6645534,0.048950866,0.041007139,0.038734994,0.019522862
536.0089407,0.049678518,0.041947709,0.039373548,0.019675624
539.3534532,0.051352109,0.042563665,0.040038256,0.020263903
542.6980774,0.052279043,0.043385946,0.041042729,0.020800155
546.0427999,0.053738445,0.0444743,0.04169146,0.021212349
549.3876072,0.055426225,0.045281409,0.0427262,0.022104965
552.7324859,0.056475147,0.046810192,0.043853336,0.022693153
556.0774225,0.058401404,0.048456881,0.04494898,0.023591796
559.4224035,0.059785009,0.050259655,0.046578314,0.024736182
562.7674155,0.061143138,0.052507389,0.047937966,0.025515857
566.1124451,0.062859271,0.054253802,0.049370607,0.026786401
569.4574788,0.063237221,0.055789321,0.050708568,0.027559372
572.8025031,0.06379069,0.056698452,0.05117745,0.028028374
576.1475046,0.06307657,0.056534515,0.05137005,0.028324064
579.4924698,0.061270842,0.056173512,0.05082346,0.027640661
582.8373853,0.059949794,0.054688581,0.049588829,0.027047377
586.1822376,0.057420903,0.05296477,0.048498612,0.026211509
589.5270132,0.055338749,0.051299497,0.046548519,0.024990031
592.8716988,0.053348053,0.048646993,0.044516707,0.024237142
596.2162808,0.050400671,0.04674271,0.042556654,0.023021722
599.5607457,0.048988056,0.04481551,0.040342785,0.022117729
602.9050803,0.047104474,0.04283915,0.038914747,0.021581973
606.2492709,0.045296815,0.041846859,0.03742314,0.020553325
609.5933041,0.044708951,0.040310205,0.03628903,0.020218897
612.9371665,0.042910233,0.039029112,0.035552656,0.019567762
616.2808446,0.041899307,0.037973678,0.034352551,0.01879078
619.624325,0.040963396,0.036490126,0.033692725,0.018572623
622.9675942,0.039398964,0.035986915,0.032990731,0.017743255
626.3106387,0.039136411,0.035170983,0.032159766,0.017417178
629.6534451,0.037933749,0.034381322,0.031835245,0.017127426
632.996,0.037169564,0.034083573,0.031093217,0.016449032
636.3382898,0.037060683,0.032825557,0.03063318,0.016486465
639.6803012,0.03547412,0.032278716,0.03017562,0.015865269
643.0220207,0.035316517,0.031604114,0.029151893,0.015368657
646.3634347,0.034468292,0.030360672,0.028788322,0.015270347
649.70453,0.032596675,0.02997828,0.027645869,0.014264143
653.0452929,0.0319227,0.027985458,0.026075634,0.01374316
656.3857101,0.028669477,0.025449907,0.024324699,0.012535105
659.7257681,0.025680954,0.02283897,0.021465405,0.010759952
663.0654534,0.023407855,0.019334308,0.019232704,0.009864429
666.4047527,0.020194631,0.017626026,0.017451643,0.008416503
669.7436523,0.019253728,0.016206082,0.015905528,0.007766359
673.0821389,0.018312678,0.015285236,0.015660563,0.007709269
676.4201991,0.017753708,0.016102193,0.01553376,0.00738296
679.7578193,0.019163556,0.016429889,0.016269548,0.008265985
683.0949861,0.019834089,0.018391521,0.017976292,0.009101308
686.4316861,0.023118375,0.021667167,0.019849897,0.010576803
689.7679058,0.027204332,0.025227663,0.023154121,0.013381375
693.1036317,0.030383581,0.030519949,0.02576578,0.015359804
696.4388504,0.035030396,0.033914754,0.027631612,0.018074591
699.7735485,0.036067872,0.036090707,0.029126832,0.019687072
703.1077124,0.03666312,0.037446042,0.028420578,0.020004396
706.4413288,0.036467556,0.035524184,0.027247172,0.020533821
709.7743841,0.032581031,0.033425598,0.025088176,0.018799884
713.1068649,0.030179096,0.030024104,0.02175633,0.017149074
716.4387578,0.026247841,0.025327663,0.019158173,0.015378348
719.7700493,0.021078078,0.021983572,0.015291562,0.012223154
723.100726,0.018370591,0.016769541,0.012128751,0.010657385
726.4307743,0.013295856,0.012518129,0.009795907,0.008089009
729.7601809,0.009665694,0.009237465,0.006384149,0.005400384
733.0889322,0.007632552,0.005242882,0.004825778,0.004568338
736.4170149,0.004515796,0.004645152,0.003427206,0.002626087
739.7444155,0.004666318,0.003418922,0.00210788,0.002396797
743.0711204,0.003783129,0.002658627,0.00291003,0.002488706
746.3971164,0.003078345,0.003347951,0.002097726,0.001505793
749.7223898,0.004162502,0.001948127,0.00199661,0.002317799
753.0469273,0.002561923,0.002410843,0.002356157,0.001651962
756.3707154,0.003260249,0.002497902,0.001328523,0.001326359
