"HYDROLIGHT Run Title:  creating a LUT for different benthic, water column , ect, Pirta P (11/01/2023 15:38)"
  150        20     "(num of wavelengths, num of sheets)"
"wavelength (nm)" "depth (m)"
"line 5: reserved for future use"
"KPAR" "KPAR (mumol phot/m^2 s)"       2       2
 " "
" " "depth" "K_PAR (from Eo)"
    0.005     2.1524E+00
    0.835     2.8984E-01
"PAR" "PAR (mumol phot/m^2 s)"       3       3
 " "
" " "depth" "PAR_Eo"  "PAR_Ed" 
" " "in air"     2.7774E+03     1.8430E+03
    0.000     2.0969E+03     1.7958E+03
    0.840     4.5904E+02     2.9263E+02
"KLu" "KLu (1/m)"     150       3
 " "
" " "wavelen"    0.005    0.835
 401.0   3.4491E+00  -2.3313E+00
 403.0   3.6006E+00  -2.4376E+00
 405.0   3.7504E+00  -2.5439E+00
 407.0   3.7980E+00  -2.5751E+00
 409.0   3.8459E+00  -2.6065E+00
 411.0   3.9106E+00  -2.6502E+00
 413.0   3.9920E+00  -2.7075E+00
 415.0   4.0732E+00  -2.7644E+00
 417.0   4.1059E+00  -2.7715E+00
 419.0   4.1388E+00  -2.7784E+00
 421.0   4.1632E+00  -2.7842E+00
 423.0   4.1794E+00  -2.7895E+00
 425.0   4.1958E+00  -2.7947E+00
 427.0   4.2440E+00  -2.8353E+00
 429.0   4.2925E+00  -2.8761E+00
 431.0   4.3324E+00  -2.9203E+00
 433.0   4.3642E+00  -2.9682E+00
 435.0   4.3962E+00  -3.0144E+00
 437.0   4.3802E+00  -3.0288E+00
 439.0   4.3644E+00  -3.0410E+00
 441.0   4.3250E+00  -3.0284E+00
 443.0   4.2619E+00  -2.9900E+00
 445.0   4.1986E+00  -2.9520E+00
 447.0   4.1361E+00  -2.9147E+00
 449.0   4.0734E+00  -2.8770E+00
 451.0   4.0191E+00  -2.8442E+00
 453.0   3.9732E+00  -2.8160E+00
 455.0   3.9273E+00  -2.7888E+00
 457.0   3.8987E+00  -2.7735E+00
 459.0   3.8702E+00  -2.7576E+00
 461.0   3.8419E+00  -2.7438E+00
 463.0   3.8137E+00  -2.7312E+00
 465.0   3.7857E+00  -2.7191E+00
 467.0   3.7236E+00  -2.6845E+00
 469.0   3.6612E+00  -2.6505E+00
 471.0   3.5889E+00  -2.6145E+00
 473.0   3.5061E+00  -2.5762E+00
 475.0   3.4223E+00  -2.5367E+00
 477.0   3.3362E+00  -2.5005E+00
 479.0   3.2488E+00  -2.4627E+00
 481.0   3.1786E+00  -2.4359E+00
 483.0   3.1263E+00  -2.4201E+00
 485.0   3.0737E+00  -2.4035E+00
 487.0   3.0202E+00  -2.3872E+00
 489.0   2.9653E+00  -2.3704E+00
 491.0   2.8897E+00  -2.3419E+00
 493.0   2.7917E+00  -2.3013E+00
 495.0   2.6915E+00  -2.2597E+00
 497.0   2.5670E+00  -2.2069E+00
 499.0   2.4390E+00  -2.1529E+00
 501.0   2.3400E+00  -2.1192E+00
 503.0   2.2714E+00  -2.1056E+00
 505.0   2.2016E+00  -2.0911E+00
 507.0   2.1128E+00  -2.0609E+00
 509.0   2.0228E+00  -2.0300E+00
 511.0   1.9345E+00  -1.9971E+00
 513.0   1.8485E+00  -1.9622E+00
 515.0   1.7617E+00  -1.9271E+00
 517.0   1.6055E+00  -1.8478E+00
 519.0   1.4490E+00  -1.7683E+00
 521.0   1.3374E+00  -1.7160E+00
 523.0   1.2699E+00  -1.6910E+00
 525.0   1.2028E+00  -1.6658E+00
 527.0   1.1164E+00  -1.6269E+00
 529.0   1.0304E+00  -1.5880E+00
 531.0   9.4434E-01  -1.5496E+00
 533.0   8.5835E-01  -1.5117E+00
 535.0   7.7401E-01  -1.4737E+00
 537.0   6.9042E-01  -1.4362E+00
 539.0   6.0935E-01  -1.3985E+00
 541.0   5.2928E-01  -1.3614E+00
 543.0   4.5129E-01  -1.3250E+00
 545.0   3.7631E-01  -1.2883E+00
 547.0   2.9895E-01  -1.2541E+00
 549.0   2.2570E-01  -1.2194E+00
 551.0   1.5369E-01  -1.1846E+00
 553.0   8.3677E-02  -1.1496E+00
 555.0   1.9033E-02  -1.1141E+00
 557.0  -4.5013E-02  -1.0792E+00
 559.0  -1.0290E-01  -1.0437E+00
 561.0  -1.5241E-01  -1.0149E+00
 563.0  -1.9498E-01  -9.9276E-01
 565.0  -2.3355E-01  -9.7016E-01
 567.0  -2.5725E-01  -9.7530E-01
 569.0  -2.8017E-01  -9.8014E-01
 571.0  -2.9980E-01  -9.7738E-01
 573.0  -3.1619E-01  -9.6717E-01
 575.0  -3.3164E-01  -9.5691E-01
 577.0  -3.2655E-01  -1.0018E+00
 579.0  -3.1892E-01  -1.0467E+00
 581.0  -3.1845E-01  -1.0585E+00
 583.0  -3.2641E-01  -1.0372E+00
 585.0  -3.3349E-01  -1.0160E+00
 587.0  -3.3035E-01  -1.0386E+00
 589.0  -3.2646E-01  -1.0611E+00
 591.0  -3.3642E-01  -1.0516E+00
 593.0  -3.5754E-01  -1.0100E+00
 595.0  -3.7475E-01  -9.6837E-01
 597.0  -3.8859E-01  -9.7881E-01
 599.0  -4.0223E-01  -9.8915E-01
 601.0  -4.0970E-01  -1.0294E+00
 603.0  -4.0714E-01  -1.0996E+00
 605.0  -3.9906E-01  -1.1697E+00
 607.0  -4.1011E-01  -1.1438E+00
 609.0  -4.1987E-01  -1.1179E+00
 611.0  -4.1917E-01  -1.1112E+00
 613.0  -4.0835E-01  -1.1234E+00
 615.0  -3.9683E-01  -1.1356E+00
 617.0  -3.8515E-01  -1.1498E+00
 619.0  -3.7273E-01  -1.1640E+00
 621.0  -3.5904E-01  -1.1855E+00
 623.0  -3.4353E-01  -1.2144E+00
 625.0  -3.2642E-01  -1.2432E+00
 627.0  -3.0737E-01  -1.2723E+00
 629.0  -2.8662E-01  -1.3012E+00
 631.0  -2.6428E-01  -1.3306E+00
 633.0  -2.4035E-01  -1.3603E+00
 635.0  -2.1466E-01  -1.3900E+00
 637.0  -2.0924E-01  -1.3955E+00
 639.0  -2.0370E-01  -1.4011E+00
 641.0  -2.0496E-01  -1.3978E+00
 643.0  -2.1297E-01  -1.3858E+00
 645.0  -2.2065E-01  -1.3737E+00
 647.0  -1.8430E-01  -1.4198E+00
 649.0  -1.4442E-01  -1.4659E+00
 651.0  -9.1265E-02  -1.5142E+00
 653.0  -2.3115E-02  -1.5647E+00
 655.0   5.0998E-02  -1.6150E+00
 657.0   2.3178E-01  -1.7031E+00
 659.0   4.3466E-01  -1.7900E+00
 661.0   6.9137E-01  -1.8907E+00
 663.0   1.0047E+00  -2.0042E+00
 665.0   1.3344E+00  -2.1141E+00
 667.0   1.5447E+00  -2.1861E+00
 669.0   1.7554E+00  -2.2561E+00
 671.0   1.8017E+00  -2.2573E+00
 673.0   1.6849E+00  -2.1913E+00
 675.0   1.5688E+00  -2.1254E+00
 677.0   1.4330E+00  -2.0899E+00
 679.0   1.2970E+00  -2.0532E+00
 681.0   1.0765E+00  -1.9971E+00
 683.0   7.8010E-01  -1.9182E+00
 685.0   5.0156E-01  -1.8351E+00
 687.0   1.0851E-01  -1.7395E+00
 689.0  -2.0767E-01  -1.6353E+00
 691.0  -4.4933E-01  -1.5585E+00
 693.0  -6.2929E-01  -1.5087E+00
 695.0  -7.5939E-01  -1.4548E+00
 697.0  -8.4326E-01  -1.4202E+00
 699.0  -9.0554E-01  -1.3841E+00
"Ku" "Ku (1/m)"     150       3
 " "
" " "wavelen"    0.005    0.835
 401.0   3.2189E+00  -4.1784E+00
 403.0   3.3594E+00  -4.3786E+00
 405.0   3.4995E+00  -4.5774E+00
 407.0   3.5435E+00  -4.6325E+00
 409.0   3.5880E+00  -4.6876E+00
 411.0   3.6485E+00  -4.7666E+00
 413.0   3.7255E+00  -4.8707E+00
 415.0   3.8026E+00  -4.9738E+00
 417.0   3.8325E+00  -4.9751E+00
 419.0   3.8627E+00  -4.9750E+00
 421.0   3.8852E+00  -4.9760E+00
 423.0   3.8998E+00  -4.9798E+00
 425.0   3.9148E+00  -4.9835E+00
 427.0   3.9614E+00  -5.0606E+00
 429.0   4.0083E+00  -5.1380E+00
 431.0   4.0472E+00  -5.2278E+00
 433.0   4.0788E+00  -5.3293E+00
 435.0   4.1104E+00  -5.4286E+00
 437.0   4.0955E+00  -5.4687E+00
 439.0   4.0807E+00  -5.5053E+00
 441.0   4.0429E+00  -5.4900E+00
 443.0   3.9820E+00  -5.4226E+00
 445.0   3.9212E+00  -5.3552E+00
 447.0   3.8615E+00  -5.2892E+00
 449.0   3.8020E+00  -5.2224E+00
 451.0   3.7507E+00  -5.1640E+00
 453.0   3.7076E+00  -5.1137E+00
 455.0   3.6647E+00  -5.0646E+00
 457.0   3.6384E+00  -5.0380E+00
 459.0   3.6124E+00  -5.0107E+00
 461.0   3.5869E+00  -4.9878E+00
 463.0   3.5618E+00  -4.9688E+00
 465.0   3.5369E+00  -4.9502E+00
 467.0   3.4805E+00  -4.8910E+00
 469.0   3.4241E+00  -4.8321E+00
 471.0   3.3595E+00  -4.7727E+00
 473.0   3.2865E+00  -4.7113E+00
 475.0   3.2132E+00  -4.6472E+00
 477.0   3.1395E+00  -4.5915E+00
 479.0   3.0653E+00  -4.5322E+00
 481.0   3.0072E+00  -4.4923E+00
 483.0   2.9654E+00  -4.4724E+00
 485.0   2.9236E+00  -4.4506E+00
 487.0   2.8816E+00  -4.4294E+00
 489.0   2.8389E+00  -4.4069E+00
 491.0   2.7792E+00  -4.3627E+00
 493.0   2.7017E+00  -4.2961E+00
 495.0   2.6231E+00  -4.2268E+00
 497.0   2.5258E+00  -4.1373E+00
 499.0   2.4269E+00  -4.0445E+00
 501.0   2.3534E+00  -3.9909E+00
 503.0   2.3061E+00  -3.9764E+00
 505.0   2.2581E+00  -3.9594E+00
 507.0   2.1933E+00  -3.9098E+00
 509.0   2.1276E+00  -3.8584E+00
 511.0   2.0622E+00  -3.8011E+00
 513.0   1.9973E+00  -3.7386E+00
 515.0   1.9315E+00  -3.6754E+00
 517.0   1.8056E+00  -3.5242E+00
 519.0   1.6775E+00  -3.3721E+00
 521.0   1.5868E+00  -3.2736E+00
 523.0   1.5343E+00  -3.2289E+00
 525.0   1.4815E+00  -3.1837E+00
 527.0   1.4101E+00  -3.1111E+00
 529.0   1.3379E+00  -3.0381E+00
 531.0   1.2648E+00  -2.9665E+00
 533.0   1.1910E+00  -2.8962E+00
 535.0   1.1169E+00  -2.8254E+00
 537.0   1.0422E+00  -2.7558E+00
 539.0   9.6798E-01  -2.6856E+00
 541.0   8.9315E-01  -2.6170E+00
 543.0   8.1876E-01  -2.5499E+00
 545.0   7.4485E-01  -2.4820E+00
 547.0   6.6831E-01  -2.4205E+00
 549.0   5.9303E-01  -2.3577E+00
 551.0   5.1674E-01  -2.2950E+00
 553.0   4.3997E-01  -2.2321E+00
 555.0   3.6568E-01  -2.1677E+00
 557.0   2.8994E-01  -2.1053E+00
 559.0   2.1766E-01  -2.0411E+00
 561.0   1.5465E-01  -1.9903E+00
 563.0   1.0014E-01  -1.9528E+00
 565.0   4.8301E-02  -1.9139E+00
 567.0   2.4449E-02  -1.9301E+00
 569.0   9.9287E-04  -1.9455E+00
 571.0  -2.2649E-02  -1.9440E+00
 573.0  -4.6383E-02  -1.9261E+00
 575.0  -6.9374E-02  -1.9082E+00
 577.0  -4.1701E-02  -1.9996E+00
 579.0  -1.0889E-02  -2.0908E+00
 581.0  -4.4633E-03  -2.1147E+00
 583.0  -2.3953E-02  -2.0716E+00
