water,phy,cdom,spm,wind,depth
0,0.01,0.54,0.29,6.38,8.71
0,0.38,0.01,0.8,4.66,1.81
0,4.51,0.07,2.02,5.29,9.85
0,0.03,0.02,1.02,7.87,12.21
0,0.7,0.19,0.06,5.94,3.08
0,0.02,0.03,0.01,3.58,6.34
0,0.03,0.13,28.01,5.07,16.38
0,1.09,0.41,0.1,8.94,3.3
0,0.38,0.22,0.07,5.22,18.72
0,1.35,0.07,11.63,6.96,10.91
0,0.01,0.22,0.03,4.39,8.41
0,0.02,0.03,5.58,4.44,5.63
0,0.71,1.04,3.09,6.19,3.32
0,0.03,0.25,0.17,9.64,8.08
0,0.33,0.51,0.04,4.22,12.04
0,0.03,0.2,1.7,9.09,5.14
0,0.47,1.65,6.2,5.84,5.16
0,0.41,0.9,0.02,10.7,16.95
0,0.09,0.95,0.3,16.18,9.05
0,0.66,1.62,17.61,6.19,10.36
0,0.73,0.02,0.02,6.74,15.74
0,0.01,2.22,1.36,5.85,7.52
0,0.26,0.07,0.26,4.19,2.7
0,0.02,1.61,0.07,9.46,6.26
0,0.06,0.7,1.15,6.91,19.51
0,4.07,1.19,0.94,15.41,0.72
0,0.11,0.42,25.62,6.35,5.84
0,0.11,2.28,4.86,7.19,14.63
0,2.27,0.11,0.3,6.54,14.54
0,0.02,0.1,0.31,6.59,13.68
0,0.04,0.15,2.21,9.12,6.38
0,0.11,0.56,12.91,4.34,4.27
0,0.65,0.13,16.13,8.74,18.96
0,0.59,1.68,0.01,9.34,10.32
0,0.59,0.18,0.05,5.13,15.47
0,0.1,0.05,0.87,5.8,0.15
0,0.03,0.01,2.94,7.04,14.11
0,5.13,0.05,0.03,5.89,3.89
0,3.48,0.84,0.13,8.49,6.2
0,0.03,2.41,2.31,4.59,7.59
0,0.21,1.83,6.39,6.49,3.61
0,3.08,1.19,2.55,7.29,7.74
0,0.41,0.12,0.02,3.95,15.08
0,0.97,2.28,0.06,5.99,8.04
0,1.15,0.03,0.01,7.69,10.6
0,0.43,0.11,1.9,6.3,3.05
0,5.36,0.3,0.28,7.72,16.84
0,0.24,0.03,0.13,11,16.97
0,0.27,0.03,0.15,3.55,9.67
0,1.11,0.93,0.12,12.71,0.68
0,0.02,0.65,0.19,7.96,10.32
0,5.3,0.31,0.23,9.96,8.87
0,0.01,0.02,1.81,16.72,8.68
0,1.72,0.2,0.06,7.52,17.82
0,0.16,0.02,3.28,6.15,16.37
0,0.03,0.02,0.03,5.28,1.5
0,0.18,0.06,8.29,5.86,3.07
0,0.13,0.03,17.91,4.99,19.57
0,0.56,0.02,4.48,4.07,14.58
0,0.02,0.04,0.11,9.83,13.62
0,3.05,0.95,0.21,9.02,17.92
0,0.1,0.09,17.79,7.87,14.29
0,0.32,1,5.58,2.71,11.58
0,0.59,0.8,2.29,3.22,8.2
0,1.48,0.01,2.51,4.29,19.49
0,0.22,2.06,0.29,11.08,4.71
0,0.63,0.27,0.06,4.94,14.75
0,0.56,0.02,0.02,5.02,1.96
0,0.09,0.32,0.01,7.06,19.96
0,1.31,1.1,5.03,7.44,7.97
0,0.07,0.66,0.02,10.85,11.14
0,6.84,0.07,9.41,7.49,3.47
0,1.56,0.18,0.77,4.3,11.22
0,0.04,1.25,0.02,5.76,7.88
0,1.5,0.38,0.02,3.19,8.73
0,1.17,1.9,2.83,8.03,14.04
0,0.29,0.42,3.74,6.67,10.59
0,3.46,0.05,7.25,7.45,12.03
0,0.05,0.04,8.33,6.06,8.75
0,0.96,1.9,3.18,5.01,13.04
0,0.03,0.17,2.29,9.18,8.06
0,2.58,0.04,0.2,4.47,10.81
0,4.62,0.22,1.88,4.11,4.39
0,6.24,1.08,2.49,6.67,10.88
0,3.93,0.07,0.31,5.67,8.89
0,0.44,0.14,0.09,5.17,5.88
0,0.08,0.96,0.82,6.61,18.48
0,0.02,0.28,3.32,4.96,0.2
0,2.02,2.21,20.25,4.8,11.2
0,0.27,0.02,0.05,5.18,12.03
0,1.56,0.06,3.12,5.81,16.7
0,0.08,0.21,0.08,5.49,2.52
0,1.32,0.07,0.07,5.01,14.45
0,0.01,0.13,2.04,9.9,14.49
0,0.11,0.24,2.03,7.02,13.5
0,0.04,2.47,3.5,3.49,1.67
0,2.46,0.21,1.45,6.13,8.93
0,0.05,1.81,0.54,4.87,13.5
0,0.07,0.3,0.02,5.69,15.52
0,0.59,0.47,2.33,4.96,4.05
0,0.1,0.95,0.14,7.66,1.88
0,0.02,0.06,3.07,5.82,18.12
0,0.16,0.22,2.41,6.75,9.56
0,0.03,1.02,0.11,7.06,14.51
0,0.04,0.15,1.22,7.18,14.49
0,1.24,0.85,0.12,6.04,4.4
0,0.03,0.44,0.29,5.62,18.04
0,0.06,0.04,0.08,5.29,2
0,0.01,0.44,0.09,6.38,3.38
0,1.59,1.31,0.58,6.22,2.65
0,0.42,1.33,0.08,6.38,18.32
0,2.27,0.05,0.63,7.11,9.6
0,5.52,0.8,6.32,8.24,12.63
0,0.08,0.43,0.18,4.06,4.34
0,4.96,0.07,5.02,5.72,7.94
0,4.16,0.79,2.58,3.52,19.01
0,0.13,0.19,0.01,6.18,19.2
0,0.11,0.61,1.84,8.09,16.62
0,0.25,0.03,1.98,5.56,2.59
0,0.03,0.14,0.04,5.32,10.01
0,0.6,0.19,23.26,4.97,6.43
0,0.01,0.09,0.28,6.31,14.82
0,0.65,0.23,0.03,6.55,3.04
0,0.07,0.04,15.84,4.49,17.27
0,0.39,0.46,0.03,5.46,10.08
0,0.02,0.19,14.46,6.39,17.76
0,0.06,0.19,2.75,6.67,4.6
0,0.73,1.18,0.04,6.86,5.17
0,5.7,0.14,5.35,6.85,19.21
0,0.03,0.18,4.34,7.24,14.37
0,0.03,0.16,9.52,13.84,11.53
